time_s,load_N,displacement_mm
0.0,0.000,0.000
0.1,0.000,0.000
0.2,0.000,0.000
0.3,0.000,0.000
0.4,0.000,0.000
0.5,0.000,0.000
0.6,0.000,0.000
0.7,0.000,0.000
0.8,0.000,0.000
0.9,0.005,0.000
1.0,0.030,0.000
1.1,0.080,0.020
1.2,0.140,0.040
1.3,0.200,0.060
1.4,0.240,0.080
1.5,0.260,0.100
1.6,0.240,0.120
1.7,0.200,0.140
1.8,0.140,0.160
1.9,0.080,0.180
2.0,0.030,0.200
2.1,0.005,0.210
2.2,0.000,0.210
2.3,0.000,0.210
2.4,0.000,0.210
2.5,0.000,0.210
2.6,0.000,0.210
2.7,0.000,0.210
2.8,0.000,0.210
2.9,0.000,0.210
3.0,0.000,0.210

